Type,Ending,Year,EUR,PKR,CNY,INR,HKD,ZAR,IDR,KRW,MYR,PHP,TWD,THB,VND,SAR,ARS,HUF,KWD,MXN,PLN,BRL,QAR,RUB,CLP,TRY,,,,,,,,,,,
BS,December,30-Dec-17,1.2005,0.0090621,0.15356,0.015664,0.12799,0.080494,0.000073601,0.0009372,0.2462,0.020009,0.033707,0.03072,0.000044035,0.2666,0.0537,0.00386,3.3134,0.05085,0.2871,0.3019,0.2729,0.01734,0.1625,0.26284,,,,,,,,,,,
BS,December,30-Dec-18,1.1444,0.007215,0.14539,0.014335,0.1277,0.069293,0.00006888,0.0008952,0.2408,0.019046,0.032715,0.030713,0.000043123,0.2666,0.0265,0.00356,3.2933,0.05087,0.266,0.2576,0.2736,0.01437,0.14409,0.18967,,,,,,,,,,,
BS,December,30-Dec-19,1.1199,0.0064542,0.14313,0.014022,0.12841,0.070847,0.000071847,0.0008636,0.2435,0.019708,0.033226,0.033363,0.000043156,0.2666,0.0167,0.00338,3.2986,0.05283,0.2632,0.2488,0.273,0.01613,0.13332,0.16813,,,,,,,,,,,
BS,December,30-Dec-20,1.2298,0.0062322,0.1533,0.013657,0.12899,0.068372,0.000071225,0.0009183,0.2477,0.020801,0.035579,0.033406,0.000043317,0.2665,0.0119,0.00337,3.2843,0.05026,0.2684,0.1925,0.2717,0.01345,0.14075,0.13544,,,,,,,,,,,
BS,March,30-Mar-14,1.3752,0.0101978,0.16098,0.0167,0.1289,0.09455,0.000087719,0.0009348,0.3069,0.022285,0.032799,0.030769,0.000047413,0.2666,0.1249,0.00446,3.5508,0.0765,0.3297,0.442,0.2746,0.02798,0.18168,0.45637,,,,,,,,,,,
BS,March,30-Mar-15,1.0833,0.0098099,0.1611,0.015998,0.12894,0.082298,0.000076394,0.0009025,0.2693,0.02239,0.03199,0.030675,0.000046415,0.2665,0.1134,0.00362,3.3269,0.06552,0.2651,0.3096,0.2745,0.01736,0.15943,0.38337,,,,,,,,,,,
BS,March,30-Mar-16,1.1338,0.0095465,0.15463,0.015095,0.12897,0.066924,0.000075555,0.0008742,0.2552,0.021794,0.031084,0.028374,0.000044894,0.2666,0.0685,0.0036,3.313,0.05804,0.2654,0.2776,0.2747,0.01464,0.14861,0.35252,,,,,,,,,,,
BS,March,30-Mar-17,1.0674,0.0095495,0.14505,0.015422,0.12871,0.07531,0.00007516,0.0008937,0.2262,0.01992,0.032979,0.029029,0.000043965,0.2666,0.0648,0.00346,3.2777,0.05342,0.2534,0.3174,0.2746,0.01782,0.15088,0.27353,,,,,,,,,,,
BS,March,30-Mar-18,1.2324,0.0086423,0.15896,0.015365,0.1274,0.084423,0.000072627,0.0009423,0.259,0.019167,0.034497,0.032072,0.000043908,0.2667,0.0496,0.00394,3.3377,0.05499,0.293,0.3024,0.2732,0.01763,0.16559,0.25285,,,,,,,,,,,
BS,March,30-Mar-19,1.1218,0.0071048,0.14898,0.014415,0.12739,0.068964,0.000070186,0.0008792,0.2449,0.018974,0.032408,0.031511,0.000043102,0.2666,0.0231,0.00349,3.2886,0.05147,0.2608,0.255,0.2733,0.01521,0.14695,0.17965,,,,,,,,,,,
BS,March,30-Mar-20,1.1048,0.0060245,0.14085,0.013255,0.12895,0.055739,0.000061235,0.0008168,0.231,0.019662,0.033051,0.030618,0.000042309,0.2658,0.0155,0.00308,3.1772,0.04204,0.2434,0.1925,0.2717,0.01259,0.11672,0.15207,,,,,,,,,,,
